"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 16, 2024 12:55:04 AM PST","22107823451","Order","112-0746460-0221064","MOSWZ40-PB","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","ZELLWOOD","FL","32798","MarketplaceFacilitator","64.99","4.22","2.99","0","0","0","0","0","-2.99","0","-4.22","-5.46","-4.27","-0.17","0","55.09"
"Nov 16, 2024 2:30:22 AM PST","22107823451","Order","112-8349451-3920265","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","RALEIGH","NC","27603","MarketplaceFacilitator","129.99","9.42","0.75","0","0","0","0","0","-0.75","0","-9.42","-10.92","-4.27","-0.33","0","114.47"
"Nov 16, 2024 10:50:33 AM PST","22107823451","Order","112-5448789-4021029","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","Punta Gorda","FL","33982","MarketplaceFacilitator","129.99","9.10","0","0","0","0","0","0","0","0","-9.10","-10.92","-4.27","-0.33","0","114.47"
"Nov 16, 2024 1:22:22 PM PST","22107823451","Refund","114-3460041-9107413","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68116","MarketplaceFacilitator","-64.99","-3.57","0","0","0","0","0","0","0","0","3.57","4.37","0","0.17","0","-60.45"
"Nov 16, 2024 1:23:11 PM PST","22107823451","Order","114-3460041-9107413","MOSWZ40-RG","Motorola Moto 40 Smartwatch -10 Days Battery Life, Google Fit Integration, 1.5'' Crystal Clear Display, Heart Tracking, in-Depth Sleep Tracking, iOS a","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68116","MarketplaceFacilitator","64.99","3.57","6.99","0.38","0","0","0","0","0","0","-3.95","-5.46","-11.26","-0.17","0","55.09"
"Nov 16, 2024 2:09:14 PM PST","22107823451","Order","111-4973921-9574646","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","FOREST HILLS","NY","11375","MarketplaceFacilitator","129.99","11.54","0","0","0","0","0","0","0","0","-11.54","-10.92","-4.27","-0.33","0","114.47"
"Nov 16, 2024 3:09:11 PM PST","22107823451","Order","114-1093048-9908238","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","SAINT CLOUD","FL","34772","MarketplaceFacilitator","129.99","9.75","0","0","0","0","0","0","0","0","-9.75","-10.92","-4.27","-0.33","0","114.47"
"Nov 16, 2024 8:22:58 PM PST","22107823451","FBA Inventory Fee","114-1456332-6877019","","FBA Removal Order: Disposal Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.04","-1.04"
"Nov 17, 2024 3:48:11 AM PST","20688362861","Order","113-5076630-3757832","MOSWZ120-PB","Motorola Moto Watch 120 - Premium Smartwatch for Men with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, Com","1","amazon.com","Invoiced Orders","Amazon","Miami","FL","33176","MarketplaceFacilitator","129.99","0","0","0","0","0","0","0","0","0","0","-18.27","-4.27","-0.55","0","106.90"
"Nov 17, 2024 1:59:23 PM PST","22107823451","Order","113-5584091-1251438","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","Gibbon","NE","68840","MarketplaceFacilitator","129.99","7.15","0","0","0","0","0","0","0","0","-7.15","-10.92","-4.27","-0.33","0","114.47"
"Nov 17, 2024 8:10:21 PM PST","22107823451","Order","113-7107218-9801059","MOSWZ70-RG","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.com","Standard Orders","Amazon","AKRON","OH","44320","MarketplaceFacilitator","79.99","0","0","0","0","0","0","0","0","0","0","-6.72","-4.27","0","0","69.00"
"Nov 18, 2024 2:32:32 AM PST","22107823451","Order","S01-5068530-2379639","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Android and iOS, Phantom Black","1","sim1.stores.amazon.com","Standard Orders","Amazon","Allendale","IL","62410","","0","0","0","0","0","0","0","0","0","0","0","0","-6.95","0","0","-6.95"
"Nov 18, 2024 3:15:45 AM PST","22107823451","Order","114-3503907-8017003","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","JAMESTOWN","NC","27282","MarketplaceFacilitator","129.99","8.77","1.49","0","0","0","0","0","-1.49","0","-8.77","-10.92","-4.27","-0.33","0","114.47"
"Nov 18, 2024 10:35:19 AM PST","22133108361","Order","114-3299544-4051422","MOSWZ120-RG","Motorola Moto Watch 120 - Premium Smartwatch for Women with AMOLED Display, 10-Day Battery, Heart Rate & SpO2 Tracking, Fitness & Health Monitoring, C","1","amazon.com","Standard Orders","Amazon","VINELAND","NJ","08360","MarketplaceFacilitator","129.99","8.61","0","0","0","0","0","0","0","0","-8.61","-10.92","-4.27","-0.33","0","114.47"
