"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2024 7:21:22 p.m. PDT","21422881881","Refund","701-8669959-4290633","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","Millet","Alberta","T0C 1Z","","-99.99","0","0","0","0","0","0","0","0","0","0","6.40","0","0","0","-93.59"
"Oct 3, 2024 10:09:07 p.m. PDT","21521898961","Order","701-0697044-0243459","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","Midhurst","Ontario","L9X 1M","","99.99","0","0","0","0","0","0","0","0","0","0","-8.00","-9.82","-0.24","0","81.93"
"Oct 4, 2024 4:07:49 a.m. PDT","21521898961","Transfer","","","To account ending with: 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-70.75","-70.75"
"Oct 4, 2024 9:48:15 p.m. PDT","21521898961","Order","701-1561319-0477814","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","Bowmanville","Ontario","L1C 4A","","99.99","0","0","0","0","0","0","0","0","0","0","-8.00","-9.82","-0.24","0","81.93"
"Oct 7, 2024 6:40:09 a.m. PDT","21521898961","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-19.32","-19.32"
"Oct 7, 2024 1:59:33 p.m. PDT","21521898961","Refund","701-1561319-0477814","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","Bowmanville","Ontario","L1C 4A","","-99.99","0","0","0","0","0","0","0","0","0","0","6.40","0","0.24","0","-93.35"
"Oct 7, 2024 10:14:18 p.m. PDT","21521898961","Order","701-7864806-0401864","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","SAINT-BRUNO","Quebec","J3V 5L","","99.99","0","0","0","0","0","0","0","0","0","0","-8.00","-9.82","-0.24","0","81.93"
"Oct 8, 2024 7:35:12 p.m. PDT","21521898961","Order","701-7006603-4583458","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","Ottawa","Ontario","K1S 5J","","99.99","0","0","0","0","0","0","0","0","0","0","-8.00","-9.82","-0.24","0","81.93"
"Oct 15, 2024 6:36:52 a.m. PDT","21788519771","Transfer","","","To account ending with: 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-51.19","-51.19"
"Oct 23, 2024 6:15:45 a.m. PDT","21788519771","Refund","701-7864806-0401864","MOSWZ70-PB","Motorola Moto Watch 70 - Health and Fitness Smartwatch for Every Day Wear, Advanced Health Features, Up to 10 Days Battery Life - Compatible with Andr","1","amazon.ca","Amazon","SAINT-BRUNO","Quebec","J3V 5L","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oct 29, 2024 6:36:58 a.m. PDT","21927620421","Transfer","","","To account ending with: 899","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-163.86","-163.86"
